Gender,Age,AnnualIncome,DeviceType,TimeSpentOnSite,PagesViewed,PreviousPurchases,DiscountOffered,EmailOpened,AdClicked,MembershipType,Purchase
Female,30,69073.84,Mobile,12.06,6,2,No,No,No,Premium,Yes
Male,51,81852.08,Desktop,5.29,8,3,No,Yes,Yes,Basic,Yes
Female,51,46311.7,Mobile,17.36,4,2,No,No,No,No Membership,Yes
Male,52,42190.09,Desktop,5.13,9,1,No,Yes,No,Premium,Yes
Male,55,42453.2,Desktop,0.79,11,1,Yes,Yes,No,Premium,Yes
Male,20,47764.24,Tablet,1.12,5,1,Yes,No,Yes,Basic,No
Male,59,35860.91,Tablet,27.1,5,3,No,Yes,Yes,No Membership,Yes
Female,23,60313.48,Mobile,7.76,5,1,Yes,No,No,No Membership,Yes
Female,36,60622.97,Desktop,0.3,2,0,No,Yes,No,Basic,No
Female,20,79098.0,Mobile,7.3,4,1,No,Yes,Yes,No Membership,Yes
Male,35,23315.27,Desktop,3.19,6,3,No,Yes,No,Basic,Yes
Male,56,38005.7,Mobile,2.2,3,1,Yes,No,No,No Membership,Yes
Male,26,69500.45,Desktop,1.0,6,4,No,Yes,No,No Membership,Yes
Female,29,58302.52,Tablet,10.99,6,0,No,No,No,No Membership,No
Male,22,55806.44,Mobile,0.4,2,2,Yes,No,No,No Membership,No
Female,20,77749.37,Mobile,2.05,2,2,No,No,No,Premium,No
Female,28,36820.82,Mobile,2.2,7,2,Yes,Yes,No,Basic,Yes
Male,47,41882.87,Desktop,1.05,7,3,Yes,No,No,No Membership,Yes
Female,21,39762.79,Mobile,4.26,5,5,Yes,No,No,Basic,No
Male,22,18767.66,Tablet,0.07,4,2,Yes,Yes,No,Basic,Yes
Female,18,57390.72,Desktop,2.15,3,1,No,No,No,Basic,Yes
Female,44,45588.65,Desktop,16.28,5,2,No,Yes,No,No Membership,No
Male,45,41807.79,Desktop,2.23,2,1,Yes,Yes,No,No Membership,Yes
Male,46,38558.35,Mobile,2.68,5,2,Yes,Yes,No,Basic,Yes
Female,35,54680.56,Tablet,3.85,6,3,No,Yes,Yes,Basic,Yes
Female,29,40626.29,Desktop,4.95,7,0,No,No,No,Premium,No
Male,30,58988.22,Tablet,9.92,6,2,Yes,No,Yes,Basic,No
Female,58,63265.24,Mobile,1.27,4,1,Yes,Yes,No,No Membership,No
Female,19,49697.6,Desktop,12.32,3,2,No,No,Yes,Basic,Yes
Female,54,48475.58,Mobile,8.5,4,0,Yes,No,Yes,Basic,No
Male,62,58338.84,Desktop,7.69,4,1,Yes,Yes,No,Basic,Yes
Female,33,54480.71,Desktop,0.54,12,1,Yes,Yes,Yes,Basic,Yes
Female,41,78942.87,Desktop,0.13,6,1,No,Yes,Yes,Basic,Yes
Male,52,60728.78,Desktop,5.41,4,0,No,No,No,No Membership,No
Male,39,74720.55,Mobile,11.93,4,3,No,No,No,No Membership,Yes
Female,53,65989.2,Tablet,5.27,13,1,Yes,Yes,No,Basic,Yes
Male,28,31268.47,Tablet,1.44,6,2,No,No,No,Premium,No
Female,63,44951.23,Mobile,0.57,4,0,Yes,No,No,Basic,Yes
Male,46,54134.25,Tablet,7.22,5,2,No,No,No,No Membership,No
Male,52,70632.0,Mobile,7.68,3,0,No,No,Yes,No Membership,Yes
Female,32,89700.63,Desktop,1.14,4,2,No,Yes,No,Premium,Yes
Male,48,46285.35,Mobile,0.17,6,2,No,Yes,No,Premium,Yes
Female,59,55994.61,Tablet,3.15,5,0,No,No,No,Premium,No
Male,58,69398.4,Mobile,5.24,6,1,No,No,No,Premium,No
Female,60,53959.1,Mobile,7.35,5,0,Yes,No,Yes,Basic,Yes
Male,33,84593.74,Mobile,9.96,7,0,No,Yes,No,Premium,Yes
Male,27,,Mobile,5.66,5,0,Yes,No,No,No Membership,Yes
Female,49,67204.36,Desktop,0.71,7,2,No,No,No,No Membership,No
Male,19,67027.84,Mobile,6.89,5,3,Yes,No,No,No Membership,Yes
Female,41,75736.7,Desktop,24.88,4,2,Yes,No,Yes,Basic,Yes
Male,40,56116.92,Tablet,14.16,7,1,No,No,No,No Membership,Yes
Female,19,71047.38,Desktop,12.32,4,1,No,Yes,No,No Membership,Yes
Male,55,50515.49,Desktop,2.16,4,1,No,Yes,Yes,Basic,Yes
Female,48,40574.96,Mobile,8.34,5,2,No,No,Yes,No Membership,No
Male,57,37950.35,Mobile,11.43,1,0,Yes,Yes,No,Basic,Yes
Male,43,29054.76,Mobile,6.81,7,1,No,No,No,No Membership,Yes
Male,46,47055.54,Mobile,1.73,1,1,Yes,Yes,Yes,Basic,Yes
Male,20,60606.79,Tablet,18.45,5,1,Yes,No,No,Premium,Yes
Female,31,51253.62,Mobile,3.6,5,2,Yes,No,No,Basic,Yes
Male,42,58563.39,Tablet,0.83,4,0,No,No,No,Basic,Yes
Female,18,77227.82,Mobile,0.7,4,2,Yes,No,Yes,No Membership,No
Male,20,45685.24,Desktop,6.26,5,5,Yes,Yes,No,Basic,Yes
Male,43,97125.34,Mobile,3.45,7,1,No,Yes,Yes,No Membership,Yes
Female,35,68594.37,Mobile,0.6,1,1,No,No,Yes,No Membership,Yes
Female,26,51455.34,Desktop,8.09,8,3,No,No,Yes,No Membership,Yes
Male,55,51047.16,Mobile,9.64,3,1,No,Yes,No,No Membership,No
Male,40,36853.66,Desktop,7.75,4,0,No,No,Yes,No Membership,No
Male,38,54537.09,Desktop,1.36,4,2,No,Yes,No,Basic,Yes
Female,18,16091.27,Mobile,7.02,6,3,Yes,No,No,No Membership,Yes
Female,38,77603.79,Tablet,0.06,6,0,No,Yes,No,Basic,Yes
Male,44,12000.0,Mobile,2.18,3,1,No,Yes,No,Basic,Yes
Female,59,55751.52,Desktop,3.05,3,1,Yes,Yes,No,Basic,No
Female,23,34408.2,Mobile,10.82,2,1,Yes,No,Yes,No Membership,No
Female,61,42378.78,Desktop,2.97,3,3,No,No,Yes,Basic,No
Female,53,44701.27,Mobile,0.07,5,3,No,No,No,Basic,Yes
Male,45,89661.27,Mobile,2.61,6,2,No,Yes,No,No Membership,Yes
Male,62,35141.49,Mobile,4.15,6,0,Yes,Yes,Yes,Premium,No
Male,34,71456.67,Mobile,17.86,6,3,No,Yes,Yes,Basic,Yes
Male,57,75887.23,Mobile,16.98,5,2,No,No,No,Premium,Yes
Female,20,12908.29,Desktop,1.2,5,2,No,No,Yes,Basic,No
Female,29,43923.65,Desktop,1.23,6,1,Yes,No,No,Premium,Yes
Male,56,81720.26,Mobile,1.07,6,2,No,Yes,Yes,Premium,Yes
Male,29,31334.08,Mobile,9.33,5,0,No,No,No,No Membership,No
Male,19,76568.97,Mobile,0.04,6,2,Yes,Yes,Yes,No Membership,Yes
Female,63,54678.4,Mobile,0.82,6,2,Yes,No,No,Basic,No
Male,39,53900.25,Mobile,4.63,6,0,Yes,No,No,Basic,No
Female,40,56250.85,Mobile,1.71,4,0,No,Yes,No,No Membership,No
Male,47,61166.29,Tablet,0.58,7,2,No,No,No,Premium,No
Male,22,37798.51,Desktop,2.68,6,1,Yes,Yes,Yes,No Membership,Yes
Female,26,50312.45,Mobile,1.92,3,2,No,No,Yes,Premium,Yes
Female,38,61670.77,Mobile,4.29,7,2,No,Yes,No,No Membership,No
Male,28,58183.95,Desktop,23.25,4,4,Yes,No,No,Basic,Yes
Female,22,61286.06,Mobile,0.8,9,3,No,No,Yes,No Membership,Yes
Female,52,42063.63,Desktop,2.8,5,0,No,Yes,Yes,No Membership,No
Female,44,66381.39,Tablet,16.13,5,0,No,No,Yes,Basic,Yes
Male,19,57276.56,Desktop,12.57,9,4,No,No,Yes,Premium,Yes
Female,41,26547.4,Mobile,3.01,5,2,No,No,No,Premium,No
Male,48,45435.31,Desktop,7.2,3,5,Yes,No,No,No Membership,Yes
Female,50,38880.92,Tablet,0.55,5,0,No,No,No,No Membership,No
Male,56,38649.19,Desktop,7.48,3,1,No,No,No,Premium,Yes
Male,47,46423.36,Desktop,21.64,5,2,No,Yes,No,No Membership,Yes
Male,63,66042.49,Mobile,4.63,5,2,Yes,Yes,Yes,No Membership,Yes
Female,54,43717.74,Mobile,4.14,3,3,Yes,No,No,Basic,Yes
Male,45,59051.04,Desktop,1.24,7,2,Yes,No,No,No Membership,Yes
Female,48,56100.93,Tablet,6.03,3,1,Yes,No,Yes,Basic,Yes
Female,28,40977.06,Desktop,5.36,6,0,No,No,Yes,Premium,Yes
Male,40,48793.33,Desktop,6.33,8,2,No,No,No,No Membership,Yes
Female,19,70567.29,Mobile,0.16,3,3,Yes,Yes,Yes,Premium,Yes
Male,57,57696.51,Mobile,4.77,4,3,No,No,No,Basic,Yes
Female,58,64878.9,Mobile,5.42,6,0,Yes,Yes,No,No Membership,Yes
Male,44,77904.94,Mobile,1.4,5,1,Yes,Yes,No,Premium,Yes
Female,52,62828.87,Desktop,1.4,7,1,Yes,No,No,Basic,Yes
Female,19,20427.6,Mobile,1.94,10,1,No,Yes,No,Basic,Yes
Female,56,59870.76,Desktop,7.46,6,2,Yes,No,Yes,Basic,Yes
Female,54,43873.99,Desktop,5.59,8,2,Yes,No,No,Basic,Yes
Male,38,87585.45,Mobile,11.22,3,1,No,Yes,No,No Membership,Yes
Female,22,62186.85,Mobile,2.1,5,2,Yes,Yes,No,Premium,Yes
Female,62,44246.11,Desktop,14.59,2,1,No,Yes,No,No Membership,Yes
Female,38,65197.21,Tablet,8.17,6,2,No,Yes,No,Premium,Yes
Male,46,56634.24,Desktop,3.02,6,2,Yes,Yes,No,Basic,Yes
Female,37,24076.77,Mobile,0.6,1,1,No,Yes,Yes,Basic,No
Female,55,70535.09,Mobile,1.78,5,5,Yes,No,No,Basic,Yes
Female,37,47700.28,Mobile,18.85,2,3,No,No,No,No Membership,Yes
Male,42,80571.13,Mobile,2.23,4,1,Yes,Yes,No,Basic,No
Female,19,52760.25,Desktop,2.4,3,0,No,No,No,Premium,Yes
Male,49,80907.28,Desktop,1.26,7,1,No,No,No,No Membership,No
Female,43,62648.17,Mobile,9.87,4,3,Yes,Yes,Yes,No Membership,Yes
Male,23,72534.22,Mobile,1.93,6,0,Yes,No,No,Basic,No
Female,58,46147.25,Mobile,2.41,9,5,No,No,No,Basic,Yes
Female,20,61354.11,Tablet,3.21,4,0,No,No,No,Basic,No
Male,50,23927.77,Mobile,3.41,4,1,Yes,No,No,Basic,Yes
Female,18,52713.34,Desktop,3.18,4,2,No,Yes,No,Premium,No
Male,22,28278.43,Mobile,4.2,4,0,Yes,No,No,No Membership,No
Female,30,34426.41,Desktop,10.11,5,2,Yes,Yes,No,No Membership,Yes
Female,36,38965.52,Mobile,10.27,9,4,No,No,No,Basic,Yes
Female,29,66887.58,Mobile,9.61,3,2,No,No,Yes,No Membership,Yes
Female,42,52347.52,Desktop,0.64,6,4,No,Yes,Yes,Basic,Yes
Female,52,55565.69,Desktop,9.65,4,0,No,No,Yes,No Membership,Yes
Male,29,51857.42,Mobile,0.77,6,3,No,No,No,No Membership,Yes
Male,47,74452.97,Mobile,0.8,3,1,Yes,No,No,Premium,No
Female,22,55072.76,Mobile,17.72,8,0,No,No,No,Basic,Yes
Female,51,59479.07,Mobile,10.27,5,0,No,Yes,No,No Membership,No
Female,39,44735.44,Desktop,4.82,7,1,No,No,Yes,No Membership,Yes
Female,56,75689.37,Tablet,12.48,4,3,No,No,Yes,Basic,Yes
Male,30,77039.01,Mobile,27.26,4,4,No,No,No,Premium,Yes
Female,64,54336.0,Mobile,5.66,2,1,No,Yes,No,Basic,No
Male,20,44482.69,Mobile,5.69,7,2,Yes,No,Yes,Basic,Yes
Female,37,25912.43,Mobile,8.42,5,3,Yes,Yes,No,Basic,Yes
Male,48,39365.26,Mobile,1.58,6,0,No,Yes,Yes,No Membership,No
Male,22,15992.38,Desktop,1.1,8,0,Yes,No,Yes,Basic,No
Male,41,38608.43,Mobile,8.55,7,0,Yes,Yes,No,Basic,Yes
Male,57,,Desktop,2.54,4,1,No,Yes,No,Basic,Yes
Female,50,54092.8,Desktop,0.87,4,2,No,Yes,No,Basic,No
Male,25,96818.81,Tablet,2.27,3,0,Yes,Yes,Yes,No Membership,Yes
Male,41,48320.98,Tablet,2.66,6,2,No,Yes,No,No Membership,Yes
Male,37,46915.63,Desktop,20.15,9,2,No,No,No,Premium,Yes
Male,33,74129.85,Tablet,7.18,4,1,No,No,No,Basic,Yes
Male,29,20315.15,Mobile,4.54,8,2,No,No,No,No Membership,No
Male,30,28328.19,Mobile,20.82,4,1,No,Yes,No,No Membership,Yes
Female,62,66949.14,Mobile,14.01,5,1,Yes,Yes,Yes,Premium,Yes
Female,59,51482.36,Desktop,4.3,1,1,No,No,No,Basic,Yes
Female,56,51895.07,Tablet,14.17,3,0,Yes,Yes,No,No Membership,Yes
Male,42,38131.28,Mobile,3.11,5,2,No,Yes,No,Basic,Yes
Male,63,59315.86,Desktop,1.57,1,1,Yes,No,Yes,Basic,Yes
Female,49,40455.58,Desktop,1.59,6,0,No,No,No,Premium,No
Female,41,56309.38,Tablet,6.51,5,1,No,Yes,Yes,Basic,Yes
Male,64,34147.3,Desktop,4.17,6,1,Yes,Yes,Yes,No Membership,Yes
Male,61,51716.85,Tablet,6.45,5,1,No,Yes,No,No Membership,Yes
Male,26,91447.64,Mobile,6.95,4,1,No,Yes,No,Basic,Yes
Male,57,47351.16,Mobile,0.14,4,0,No,Yes,No,No Membership,Yes
Male,40,52628.35,Mobile,0.33,3,0,No,Yes,Yes,Premium,Yes
Female,30,51354.59,Mobile,4.56,5,1,No,Yes,No,Premium,Yes
Female,49,58141.57,Mobile,1.27,5,1,No,Yes,No,Premium,No
Female,32,63426.74,Desktop,6.01,3,2,No,No,No,No Membership,Yes
Female,53,59630.28,Desktop,4.82,5,1,No,No,No,Basic,No
Female,22,60027.69,Desktop,5.29,6,0,Yes,Yes,No,No Membership,Yes
Female,39,51745.0,Mobile,2.16,8,2,Yes,Yes,Yes,Basic,Yes
Female,33,56805.22,Mobile,6.13,7,0,Yes,No,No,No Membership,No
Male,58,51148.8,Mobile,10.61,4,1,No,No,No,No Membership,Yes
Male,27,22377.54,Mobile,37.51,4,1,Yes,No,Yes,No Membership,Yes
Male,41,102351.07,Desktop,10.94,1,0,Yes,Yes,No,Premium,Yes
Female,35,68107.11,Mobile,4.89,4,1,Yes,No,No,No Membership,Yes
Female,35,37372.25,Mobile,1.29,4,4,Yes,Yes,No,Basic,Yes
Male,24,59141.09,Desktop,6.86,7,1,No,Yes,Yes,No Membership,No
Female,21,30769.47,Mobile,16.65,4,0,No,No,No,No Membership,Yes
Male,43,46104.37,Tablet,1.43,6,0,No,No,Yes,Premium,No
Female,22,28324.21,Mobile,1.77,4,1,Yes,Yes,Yes,Basic,Yes
Male,33,54078.67,Tablet,0.97,5,0,No,No,No,Premium,No
Male,52,26535.61,Mobile,8.01,3,1,No,No,No,Basic,No
Male,43,61991.61,Desktop,3.13,3,1,Yes,No,No,No Membership,No
Male,35,67279.98,Mobile,0.39,4,2,No,Yes,Yes,No Membership,Yes
Male,46,40114.35,Desktop,12.47,8,1,No,Yes,Yes,No Membership,No
Male,40,57896.1,Mobile,4.89,6,0,No,No,No,Premium,No
Female,31,39160.64,Mobile,2.41,5,1,Yes,No,No,No Membership,Yes
Female,32,64211.16,Desktop,2.53,7,2,No,Yes,No,Premium,Yes
Male,50,42604.88,Mobile,2.06,8,0,Yes,Yes,No,Basic,Yes
Female,42,69201.46,Mobile,3.65,4,2,No,No,No,No Membership,No
Female,38,22391.35,Mobile,2.47,7,3,No,No,No,Premium,Yes
Male,34,36910.43,Desktop,4.76,4,1,Yes,No,No,No Membership,Yes
Male,40,35041.31,Mobile,8.91,6,3,Yes,Yes,No,No Membership,Yes
Male,60,58660.37,Mobile,6.73,4,3,Yes,Yes,No,No Membership,Yes
Male,34,64991.61,Mobile,2.09,6,2,No,No,Yes,Basic,Yes
Female,31,60051.47,Desktop,4.51,3,1,No,No,No,Basic,No
Male,46,45838.42,Desktop,11.0,2,0,No,Yes,No,No Membership,Yes
Female,37,12000.0,Mobile,0.42,4,3,No,No,No,Basic,Yes
Female,47,55696.64,Mobile,0.49,7,2,No,Yes,No,No Membership,Yes
Male,36,69184.88,Mobile,4.87,6,3,No,Yes,Yes,No Membership,Yes
Female,56,103249.16,Mobile,6.12,10,1,Yes,Yes,No,No Membership,Yes
Male,30,47360.89,Mobile,1.43,5,0,No,Yes,No,Premium,No
Female,35,43024.32,Mobile,8.2,5,3,No,No,No,No Membership,Yes
Male,40,60764.59,Mobile,6.24,6,2,No,Yes,No,No Membership,Yes
Female,63,50389.15,Tablet,15.41,6,1,No,Yes,No,No Membership,No
Female,50,77956.72,Mobile,1.11,2,2,No,No,Yes,No Membership,Yes
Male,56,40452.6,Desktop,8.35,3,2,No,No,No,No Membership,Yes
Female,57,50520.74,Mobile,0.52,5,2,No,Yes,No,Basic,Yes
Female,35,70771.84,Mobile,5.0,4,0,Yes,No,No,No Membership,Yes
Female,26,60550.56,Desktop,4.82,10,3,No,No,No,Basic,Yes
Female,50,75901.74,Mobile,2.95,4,1,Yes,No,Yes,Premium,Yes
Female,49,47141.81,Mobile,11.17,6,4,Yes,Yes,No,No Membership,Yes
Male,34,77739.12,Desktop,0.03,5,1,No,Yes,Yes,No Membership,Yes
Male,36,25050.87,Mobile,4.41,9,1,No,Yes,No,Basic,No
Female,44,25771.5,Mobile,1.47,5,4,No,Yes,No,Premium,No
Male,23,78022.72,Mobile,8.16,10,1,No,Yes,No,No Membership,Yes
Female,52,55132.29,Mobile,0.26,8,0,Yes,Yes,No,Premium,No
Female,54,71574.69,Desktop,10.69,6,3,No,No,No,No Membership,Yes
Male,51,56790.48,Mobile,10.92,6,3,No,Yes,No,No Membership,Yes
Male,37,54873.26,Mobile,10.73,4,0,Yes,No,Yes,No Membership,No
Female,42,31095.62,Mobile,0.99,5,1,No,Yes,No,Basic,No
Male,21,54516.89,Mobile,5.97,2,2,Yes,No,No,Premium,No
Female,27,79508.93,Tablet,0.09,3,2,No,Yes,Yes,Basic,Yes
Male,27,56020.07,Mobile,11.3,7,2,No,No,No,Premium,Yes
Female,41,67277.41,Tablet,7.7,4,0,No,Yes,Yes,Basic,Yes
Male,38,66778.73,Desktop,4.54,6,1,No,No,Yes,Basic,Yes
Female,28,36771.26,Desktop,7.87,4,3,Yes,Yes,No,No Membership,Yes
Male,44,70428.35,Mobile,0.59,4,0,No,Yes,No,No Membership,Yes
Female,33,49352.88,Mobile,4.51,4,1,Yes,Yes,Yes,Basic,Yes
Male,43,50326.26,Desktop,2.07,7,3,No,No,Yes,Premium,Yes
Female,47,92758.51,Desktop,21.59,5,1,No,Yes,Yes,No Membership,Yes
Female,33,65751.46,Mobile,11.67,5,0,No,No,Yes,No Membership,Yes
Male,24,43506.96,Mobile,7.93,7,1,Yes,Yes,Yes,Premium,Yes
Male,33,56161.69,Mobile,16.29,2,1,No,Yes,Yes,No Membership,No
Male,52,55659.16,Tablet,2.56,6,4,No,No,Yes,Basic,Yes
Female,33,85349.68,Mobile,13.87,6,2,No,No,No,Premium,Yes
Female,57,55710.29,Desktop,2.36,5,3,No,No,No,No Membership,No
Female,29,94743.98,Desktop,7.92,5,3,No,Yes,No,Premium,Yes
Male,52,31658.81,Desktop,8.0,4,2,No,Yes,Yes,No Membership,No
Male,38,54417.65,Desktop,0.11,4,1,No,No,Yes,Premium,No
Female,60,41268.6,Mobile,2.69,6,1,Yes,No,Yes,Basic,Yes
Male,53,46093.09,Tablet,0.12,5,2,No,Yes,Yes,Basic,Yes
Female,34,46483.81,Desktop,35.04,2,4,Yes,No,No,Premium,Yes
Male,49,42196.48,Desktop,0.78,2,1,No,No,No,Premium,No
Female,58,86143.09,Mobile,4.7,3,2,No,No,No,Basic,Yes
Male,23,80606.09,Desktop,9.38,4,3,Yes,No,No,Premium,Yes
Male,41,62247.6,Mobile,1.35,5,0,No,No,No,Basic,No
Female,44,46461.67,Mobile,3.98,6,0,Yes,No,Yes,Basic,No
Female,37,42701.81,Desktop,5.61,9,2,No,Yes,No,No Membership,Yes
Female,42,68352.56,Mobile,1.05,3,1,Yes,Yes,No,No Membership,Yes
Male,19,60402.72,Desktop,9.05,5,0,No,No,No,Basic,Yes
Male,26,52393.13,Mobile,2.13,3,1,Yes,No,No,Basic,No
Female,45,64741.47,Desktop,1.42,4,2,Yes,No,No,Premium,Yes
Female,55,71039.27,Mobile,4.9,3,2,Yes,Yes,No,Basic,Yes
Male,20,52227.28,Desktop,3.17,9,2,No,No,No,Basic,No
Male,37,40828.13,Mobile,15.18,6,3,No,No,No,No Membership,Yes
Male,23,31219.92,Desktop,12.72,1,0,Yes,No,Yes,No Membership,No
Female,56,59511.37,Desktop,3.96,5,3,Yes,Yes,Yes,No Membership,Yes
Male,50,94010.43,Mobile,2.67,6,1,Yes,Yes,No,Basic,Yes
Male,18,35008.06,Mobile,2.36,6,2,No,Yes,No,Basic,No
Male,54,74790.44,Desktop,1.87,4,1,Yes,No,No,Premium,Yes
Male,23,42839.99,Desktop,4.72,4,1,No,No,No,No Membership,No
Male,62,46467.43,Desktop,9.81,3,2,Yes,No,No,No Membership,Yes
Female,51,71468.62,Desktop,2.23,2,3,No,No,Yes,Basic,Yes
Male,64,50405.35,Mobile,1.27,3,1,Yes,Yes,No,Premium,Yes
Female,32,59468.68,Mobile,3.87,4,1,No,No,No,Basic,Yes
Male,62,59123.71,Mobile,0.43,5,0,No,No,No,No Membership,No
Female,43,42868.94,Mobile,7.25,5,0,No,No,Yes,Premium,Yes
Female,31,71111.76,Desktop,4.38,2,2,No,No,No,Premium,Yes
Female,24,53891.52,Mobile,4.12,2,1,No,No,No,No Membership,No
Female,63,30006.82,Tablet,2.14,4,1,Yes,Yes,Yes,No Membership,Yes
Male,48,38935.29,Desktop,14.1,5,2,Yes,No,No,Premium,Yes
Male,41,12000.0,Desktop,0.57,6,3,No,No,No,No Membership,No
Female,48,55935.86,Tablet,12.23,6,5,No,No,No,Basic,Yes
Female,46,78473.2,Mobile,2.84,6,3,No,No,No,Basic,Yes
Female,59,36151.3,Desktop,12.75,4,0,No,Yes,Yes,Premium,Yes
Female,49,65539.69,Mobile,7.83,9,1,No,Yes,Yes,No Membership,Yes
Female,34,62750.21,Mobile,0.66,2,2,No,No,Yes,Premium,Yes
Male,31,41466.2,Desktop,10.69,5,1,Yes,Yes,No,Premium,Yes
Male,57,82657.61,Mobile,6.88,8,3,No,No,No,No Membership,Yes
Female,53,50092.11,Tablet,0.2,6,2,Yes,Yes,Yes,No Membership,Yes
Female,41,91184.83,Desktop,0.86,3,1,No,Yes,No,No Membership,Yes
Male,62,25557.78,Desktop,6.06,5,3,No,Yes,No,Premium,Yes
Female,44,50155.56,Mobile,6.52,5,1,No,Yes,Yes,No Membership,No
Male,42,52295.46,Desktop,8.24,6,3,Yes,No,Yes,Basic,Yes
Female,49,54268.97,Mobile,7.64,9,0,Yes,No,No,Premium,Yes
Male,35,67893.96,Desktop,6.46,8,2,No,Yes,No,No Membership,Yes
Male,63,116166.29,Mobile,8.72,1,1,No,No,Yes,No Membership,Yes
Female,35,63191.19,Desktop,5.14,7,3,Yes,Yes,No,No Membership,No
Male,54,55436.32,Mobile,1.81,4,2,No,Yes,Yes,Basic,Yes
Female,43,35268.41,Mobile,14.61,3,1,Yes,No,No,Premium,Yes
Female,26,20978.08,Mobile,0.11,5,4,No,No,No,No Membership,Yes
Female,52,76064.69,Mobile,2.74,5,3,No,No,No,Basic,No
Male,25,45157.89,Desktop,7.83,4,3,No,Yes,Yes,Basic,Yes
Male,37,101874.85,Mobile,3.34,6,2,Yes,Yes,Yes,Premium,Yes
Male,59,70627.81,Mobile,0.15,9,1,No,No,Yes,Premium,Yes
Female,39,61148.07,Desktop,0.41,8,1,Yes,Yes,Yes,No Membership,Yes
Female,36,62094.32,Mobile,6.28,3,0,Yes,No,No,Basic,No
Female,47,62271.58,Mobile,20.09,3,1,Yes,No,Yes,Premium,Yes
Female,45,42497.79,Desktop,4.82,5,4,Yes,No,No,Premium,Yes
Female,52,23472.95,Mobile,4.24,8,1,Yes,Yes,No,No Membership,Yes
Female,60,45087.67,Mobile,2.3,6,2,No,No,No,Basic,Yes
Male,28,54669.59,Mobile,1.78,6,0,No,No,No,Premium,Yes
Female,48,43339.29,Mobile,0.13,7,5,No,No,No,No Membership,Yes
Male,56,31850.5,Mobile,1.91,4,2,No,Yes,Yes,No Membership,Yes
Female,53,41532.21,Mobile,3.58,7,0,No,No,Yes,No Membership,Yes
Female,47,73643.18,Desktop,1.32,10,4,Yes,No,Yes,No Membership,Yes
Female,40,68467.52,Mobile,0.55,3,6,Yes,Yes,No,No Membership,Yes
Male,36,58085.38,Mobile,7.59,7,1,No,Yes,No,No Membership,Yes
Male,29,65567.76,Mobile,13.5,3,1,No,Yes,No,Basic,Yes
Male,32,34625.2,Desktop,16.57,5,1,Yes,No,No,No Membership,Yes
Male,48,40682.35,Tablet,5.77,1,2,No,No,Yes,Basic,No
Male,60,60598.27,Mobile,0.33,6,0,No,Yes,No,No Membership,Yes
Female,54,36918.84,Tablet,8.1,2,1,No,Yes,No,No Membership,No
Female,54,56951.17,Mobile,0.7,3,4,No,No,No,Basic,No
Male,32,32274.56,Mobile,6.65,2,2,No,Yes,Yes,Premium,Yes
Male,46,25306.97,Mobile,9.07,5,3,No,Yes,Yes,No Membership,No
Male,60,68249.42,Mobile,7.76,3,2,Yes,No,Yes,Premium,Yes
Female,43,73486.83,Mobile,18.2,5,0,No,Yes,No,Premium,Yes
Female,61,43645.22,Mobile,8.04,2,1,No,No,No,Basic,No
Female,19,27631.67,Mobile,7.09,4,2,Yes,No,No,No Membership,Yes
Male,37,15249.3,Mobile,1.82,6,1,No,Yes,No,Basic,No
Female,32,88156.0,Mobile,15.52,6,0,Yes,Yes,No,Premium,Yes
Female,21,57005.04,Mobile,1.19,5,0,No,No,No,No Membership,No
Male,39,44056.12,Desktop,14.12,1,0,Yes,No,No,Premium,Yes
Female,55,48449.59,Mobile,2.25,5,0,Yes,No,No,No Membership,Yes
Male,40,20560.02,Desktop,0.84,7,1,Yes,Yes,Yes,No Membership,Yes
Female,43,66158.17,Desktop,10.52,7,1,No,No,Yes,Basic,Yes
Male,28,91001.94,Mobile,0.01,4,0,No,No,Yes,No Membership,No
Female,45,40910.37,Mobile,10.71,2,3,Yes,No,No,Basic,Yes
Female,19,97902.23,Mobile,1.83,4,0,Yes,No,No,Basic,Yes
Female,25,52904.71,Desktop,12.96,4,1,No,Yes,Yes,No Membership,No
Female,46,85001.56,Mobile,7.06,6,2,No,Yes,No,No Membership,Yes
Male,28,60529.98,Mobile,6.58,4,1,No,Yes,No,Premium,Yes
Male,54,60510.36,Mobile,2.73,3,1,No,No,Yes,Basic,No
Male,35,88190.66,Desktop,0.37,2,1,No,Yes,No,Premium,Yes
Male,31,69088.67,Mobile,10.63,4,3,Yes,Yes,No,No Membership,Yes
Female,27,61747.27,Desktop,1.12,8,0,No,Yes,No,Basic,Yes
Male,52,20055.94,Mobile,2.79,7,2,No,Yes,Yes,No Membership,No
Female,26,27870.25,Desktop,5.5,5,1,Yes,Yes,Yes,Basic,Yes
Female,52,63253.99,Mobile,3.95,10,1,Yes,No,No,No Membership,No
Female,28,81420.1,Mobile,1.33,8,2,No,No,No,No Membership,No
Male,61,57312.12,Tablet,0.91,6,1,Yes,No,No,Basic,No
Female,29,44356.52,Desktop,0.79,4,1,Yes,Yes,No,Basic,Yes
Female,20,21894.93,Mobile,11.93,8,3,No,No,No,Basic,Yes
Male,56,40895.47,Mobile,0.19,2,0,Yes,Yes,No,Premium,No
Female,31,57357.66,Desktop,22.64,6,1,No,No,No,No Membership,No
Female,45,39583.78,Desktop,1.33,2,2,No,No,Yes,No Membership,No
